,preco,area_m2,quartos,banheiros,andares,rua_principal,quarto_hospedes,porao,aquecimento_agua,ar_condicionado,vagas_garagem,area_preferencial,mobilia
0,2418181.8181818184,689.34,4,2,3,1,0,0,0,1,2,1,2
1,2227272.727272727,832.41,4,4,4,1,0,0,0,1,3,0,2
2,2227272.727272727,925.31,3,2,2,1,0,1,0,0,2,1,1
3,2220909.090909091,696.77,4,2,2,1,0,1,0,1,3,1,2
4,2074545.4545454546,689.34,4,1,2,1,1,1,0,1,2,0,2
5,1972727.2727272727,696.77,3,3,1,1,0,1,0,1,2,1,1
6,1845454.5454545454,797.11,4,3,4,1,0,0,0,1,2,1,1
7,1845454.5454545454,1505.03,5,3,2,1,0,0,0,0,0,0,0
8,1794545.4545454546,752.51,4,1,2,1,1,1,0,1,2,1,2
9,1781818.1818181819,534.19,3,2,4,1,1,0,0,1,1,1,0
10,1781818.1818181819,1226.32,3,1,2,1,0,1,0,1,2,1,2
11,1760181.8181818181,557.42,4,3,2,1,1,1,1,0,2,0,1
12,1692727.2727272727,608.51,4,2,2,1,0,0,0,1,1,1,1
13,1680000.0,325.16,4,2,2,1,0,0,1,0,2,0,2
14,1680000.0,724.64,3,2,2,1,0,0,0,0,0,1,1
15,1654545.4545454546,557.42,4,1,2,1,0,1,0,0,2,0,1
16,1654545.4545454546,613.16,4,2,2,1,1,1,0,1,1,1,0
17,1629090.9090909092,789.68,3,2,4,1,0,0,0,1,2,0,2
18,1616363.6363636365,427.35,3,2,2,1,1,0,0,1,2,0,2
19,1610000.0,596.44,3,2,2,1,0,0,0,1,1,1,1
20,1590909.0909090908,401.34,3,1,2,1,0,1,1,0,2,0,1
21,1578181.8181818181,664.72,3,2,1,1,1,1,0,1,2,0,0
22,1571818.1818181819,747.87,3,1,1,1,1,1,0,1,1,0,2
23,1571818.1818181819,423.64,3,2,2,1,1,1,0,1,1,0,2
24,1559090.9090909092,817.55,3,2,2,1,0,0,0,1,2,0,2
25,1552727.2727272727,607.59,4,2,2,1,1,1,0,1,2,1,2
26,1538727.2727272727,557.42,3,2,4,1,1,1,0,1,0,1,1
27,1527272.7272727273,824.51,3,1,1,1,0,0,0,0,1,0,1
28,1527272.7272727273,738.58,5,2,2,1,0,1,1,0,2,0,0
29,1527272.7272727273,510.97,4,2,2,1,0,1,0,1,1,1,1
30,1527272.7272727273,694.45,3,2,4,1,0,0,0,1,2,0,0
31,1527272.7272727273,650.32,3,1,4,1,0,0,0,1,2,0,1
32,1508181.8181818181,453.37,4,2,2,1,0,0,0,1,1,1,2
33,1489090.9090909092,553.7,3,3,2,1,1,1,0,0,1,0,0
34,1476363.6363636365,635.46,5,1,2,1,1,1,0,1,1,0,2
35,1469261.8181818181,650.32,3,2,4,1,0,0,0,1,2,0,2
36,1462363.6363636365,695.1,3,2,3,1,0,0,1,0,1,1,2
37,1450909.0909090908,836.13,4,2,4,1,0,0,0,1,2,0,2
38,1447727.2727272727,557.42,3,1,4,1,1,0,0,1,2,0,0
39,1438181.8181818181,557.42,4,2,4,1,0,0,0,1,1,0,1
40,1431818.1818181819,608.51,3,1,2,1,0,1,0,1,0,1,2
41,1425454.5454545454,590.86,3,2,4,1,0,0,0,1,0,1,2
42,1400000.0,602.01,3,2,4,1,0,0,0,1,2,0,0
43,1400000.0,557.42,4,2,4,1,0,0,0,0,2,0,1
44,1374545.4545454546,557.42,4,2,4,1,0,0,0,1,1,0,2
45,1374545.4545454546,557.42,3,2,3,1,0,0,0,1,0,0,1
46,1368181.8181818181,557.42,3,2,4,1,0,0,0,1,1,0,2
47,1361818.1818181819,613.16,3,1,4,1,0,0,0,1,3,1,2
48,1355454.5454545454,399.48,3,2,2,1,0,1,0,0,1,0,0
49,1349090.9090909092,691.2,3,2,1,1,1,1,0,1,0,1,1
50,1349090.9090909092,691.2,3,2,4,1,0,0,0,0,1,1,0
51,1349090.9090909092,587.61,3,1,4,1,0,0,0,1,1,0,0
52,1336363.6363636365,557.42,4,2,4,1,1,0,0,1,1,0,2
53,1336363.6363636365,478.45,3,2,4,1,0,0,0,1,2,0,1
54,1336363.6363636365,557.42,3,2,2,1,1,0,0,1,1,0,1
55,1336363.6363636365,557.42,3,1,2,1,0,0,0,1,1,0,0
56,1335090.9090909092,1062.81,4,1,2,1,0,1,0,0,1,1,1
57,1317272.7272727273,836.13,4,2,4,1,1,0,0,1,1,1,2
58,1310909.0909090908,713.5,4,2,4,1,1,0,0,1,1,0,1
59,1310909.0909090908,557.42,3,2,4,1,1,0,0,1,1,0,2
60,1298181.8181818181,557.42,3,2,2,1,1,0,0,0,1,0,1
61,1285454.5454545454,824.98,2,1,1,1,0,0,0,1,1,0,1
62,1285454.5454545454,579.71,4,2,2,1,0,0,0,1,1,0,2
63,1279090.9090909092,590.86,4,2,3,1,0,0,0,1,2,1,2
64,1272727.2727272727,1038.19,3,1,1,1,0,1,0,1,1,1,2
65,1260000.0,824.98,3,2,2,1,0,1,0,1,1,0,2
66,1260000.0,1226.32,2,1,1,1,0,1,1,0,1,0,2
67,1253636.3636363635,715.35,3,2,1,1,0,0,0,0,2,0,0
68,1247272.7272727273,557.42,3,1,1,1,0,0,0,1,1,0,2
69,1234545.4545454546,1123.2,4,2,2,1,0,0,0,0,2,1,2
70,1234545.4545454546,371.61,3,2,2,1,0,1,0,1,0,1,1
71,1228181.8181818181,557.42,4,2,4,1,0,0,0,1,0,0,0
72,1221818.1818181819,466.37,3,1,4,1,0,0,0,1,0,1,0
73,1215454.5454545454,613.16,2,2,4,1,0,1,0,0,0,1,2
74,1209090.9090909092,375.33,3,1,2,1,0,1,1,0,1,0,2
75,1209090.9090909092,395.77,4,2,2,1,0,0,1,0,0,0,1
76,1209090.9090909092,596.44,3,2,3,1,0,0,0,1,0,1,2
77,1209090.9090909092,603.87,3,2,3,1,0,0,0,1,0,1,2
78,1209090.9090909092,529.55,3,1,1,1,1,1,0,1,2,1,2
79,1209090.9090909092,557.42,3,2,3,1,1,0,0,1,0,0,2
80,1205272.7272727273,557.42,3,1,2,1,0,0,1,0,1,1,1
81,1202727.2727272727,371.61,3,2,2,1,0,1,0,1,1,0,1
82,1202727.2727272727,975.48,3,2,1,1,0,1,0,1,1,1,2
83,1196363.6363636365,557.42,3,2,4,1,0,0,0,1,0,0,1
84,1183636.3636363635,349.32,3,1,2,1,0,0,1,0,2,0,1
85,1183636.3636363635,766.45,3,2,3,1,0,0,0,1,0,0,2
86,1183636.3636363635,619.66,3,1,3,1,0,1,0,0,0,1,0
87,1177272.7272727273,367.9,3,1,1,1,0,1,0,0,2,0,1
88,1177272.7272727273,688.41,3,1,1,1,1,1,0,1,2,1,0
89,1170909.0909090908,797.11,5,3,2,1,0,0,0,0,2,0,2
90,1170909.0909090908,464.52,3,1,2,1,0,0,0,1,0,0,1
91,1167090.9090909092,627.1,2,1,1,1,1,1,0,0,2,1,2
92,1164545.4545454546,445.93,3,2,4,1,1,0,0,1,0,0,2
93,1145454.5454545454,668.9,3,2,1,1,0,1,0,1,3,0,1
94,1145454.5454545454,557.42,4,2,4,1,0,0,0,0,1,0,1
95,1145454.5454545454,380.9,3,2,3,1,0,0,0,1,2,0,1
96,1145454.5454545454,836.13,3,1,1,1,0,1,0,0,1,1,2
97,1145454.5454545454,594.58,3,1,1,1,1,1,0,1,1,1,1
98,1144181.8181818181,613.16,3,2,3,1,0,0,0,1,0,1,0
99,1139090.9090909092,557.42,4,1,3,1,1,1,0,0,0,1,0
100,1132727.2727272727,613.16,3,2,1,1,0,1,0,1,0,1,0
101,1132727.2727272727,510.97,3,1,3,1,0,0,0,0,1,1,0
102,1126363.6363636365,510.97,3,2,4,1,1,0,0,1,1,0,1
103,1126363.6363636365,589.93,3,2,3,1,1,0,0,1,0,0,2
104,1126363.6363636365,510.97,3,2,1,1,1,1,0,0,2,1,2
105,1120000.0,418.06,3,1,4,1,0,0,0,1,0,0,0
106,1120000.0,506.32,4,2,1,1,0,1,0,1,0,1,1
107,1113636.3636363635,596.44,3,1,3,1,0,1,0,0,0,1,0
108,1110454.5454545454,301.01,4,1,3,1,0,0,0,0,1,0,1
109,1107272.7272727273,614.55,4,2,2,1,1,0,1,0,1,0,1
110,1107272.7272727273,613.16,3,1,1,1,1,1,0,0,2,1,1
111,1107272.7272727273,777.78,3,1,3,1,0,0,0,1,2,0,0
112,1106000.0,399.48,6,2,2,1,0,0,0,0,0,0,2
113,1106000.0,893.73,3,1,1,1,0,1,0,0,2,1,2
114,1094545.4545454546,631.74,2,1,1,1,1,1,0,0,2,0,2
115,1094545.4545454546,743.22,3,1,1,1,1,1,0,1,2,1,1
116,1094545.4545454546,641.03,3,2,1,1,1,1,0,0,0,1,0
117,1081818.1818181819,343.74,4,1,2,1,1,0,0,1,0,0,2
118,1081818.1818181819,596.44,3,1,1,1,0,1,0,1,0,1,2
119,1081818.1818181819,652.18,3,1,1,1,0,1,0,1,2,1,1
120,1081818.1818181819,607.59,3,1,1,1,1,1,0,0,2,1,2
121,1081818.1818181819,671.78,3,1,2,1,1,1,0,1,0,1,1
122,1081818.1818181819,581.02,4,2,1,1,0,1,0,0,1,1,1
123,1081818.1818181819,680.05,4,2,2,1,0,0,0,0,0,0,2
124,1081818.1818181819,606.19,3,2,4,1,0,0,0,0,1,0,2
125,1080545.4545454546,1449.29,3,1,1,1,0,0,0,1,2,0,1
126,1069090.9090909092,665.19,3,1,1,1,0,1,0,0,2,1,0
127,1069090.9090909092,603.87,3,2,3,1,0,0,0,1,0,0,0
128,1067818.1818181819,510.97,3,1,3,1,1,0,0,1,1,0,2
129,1067818.1818181819,1064.67,3,1,3,1,0,0,0,0,2,1,1
130,1066545.4545454546,445.93,3,1,1,1,1,1,0,0,0,0,0
131,1056363.6363636365,541.44,4,1,4,1,1,0,0,0,0,0,1
132,1056363.6363636365,483.1,3,1,3,1,0,0,0,1,0,0,1
133,1056363.6363636365,445.93,3,1,3,1,0,0,0,1,0,0,0
134,1055090.9090909092,650.32,3,1,1,1,0,1,0,0,2,1,1
135,1050000.0,557.42,3,2,4,1,0,0,0,1,0,0,0
136,1043636.3636363636,501.68,4,2,2,1,0,0,0,1,2,0,0
137,1043636.3636363636,431.07,4,1,2,1,0,0,0,0,1,0,1
138,1043636.3636363636,464.52,3,1,3,1,0,0,0,1,0,0,1
139,1043636.3636363636,590.86,3,1,1,1,1,1,0,1,2,1,2
140,1043636.3636363636,538.84,3,2,4,1,0,0,0,1,0,0,0
141,1027727.2727272727,618.73,4,2,2,1,1,1,0,0,1,1,1
142,1018181.8181818182,975.48,4,2,2,1,0,0,0,0,1,0,1
143,1018181.8181818182,445.93,5,2,3,0,0,1,1,0,0,0,0
144,1018181.8181818182,436.64,4,1,2,1,1,1,0,1,1,0,2
145,1018181.8181818182,464.52,3,1,4,1,0,0,0,0,0,0,2
146,1018181.8181818182,975.48,2,1,1,1,0,0,0,0,1,0,1
147,1018181.8181818182,510.97,3,2,2,1,0,0,0,0,1,0,1
148,1018181.8181818182,590.86,3,1,3,1,0,0,0,0,0,1,1
149,1018181.8181818182,613.16,4,2,1,1,0,1,0,0,0,1,1
150,1018181.8181818182,477.15,3,1,2,1,1,1,0,1,0,1,0
151,1011818.1818181818,408.77,4,1,2,1,0,0,0,1,2,1,1
152,1011818.1818181818,501.68,5,1,2,1,1,1,0,1,0,1,2
153,1005454.5454545454,306.58,3,3,2,1,0,1,0,0,0,0,1
154,1005454.5454545454,339.1,3,2,2,1,0,0,0,0,2,0,1
155,1005454.5454545454,566.71,3,2,1,1,0,1,0,0,2,1,2
156,1004181.8181818182,641.03,3,1,1,1,1,1,0,0,0,1,1
157,999090.9090909091,261.71,4,2,2,0,1,1,0,0,1,0,2
158,999090.9090909091,741.37,3,1,1,1,0,0,0,0,2,0,1
159,992727.2727272727,292.64,3,2,1,1,1,1,0,1,0,0,2
160,992727.2727272727,576.93,4,1,4,1,1,0,0,1,0,0,2
161,992727.2727272727,566.71,3,1,3,1,1,0,0,1,0,1,1
162,992727.2727272727,613.16,4,2,2,1,1,1,0,0,0,1,1
163,986363.6363636364,634.06,3,1,1,1,1,1,0,1,0,1,1
164,980000.0,623.38,3,2,2,1,1,1,0,0,1,1,2
165,978727.2727272727,599.22,3,2,1,1,1,1,1,0,0,0,0
166,967272.7272727273,724.64,3,1,1,1,0,1,0,1,2,1,0
167,960909.0909090909,427.35,2,2,1,1,0,0,0,1,2,0,1
168,954545.4545454546,395.77,4,1,2,1,0,1,0,1,0,0,2
169,954545.4545454546,607.59,4,2,2,0,0,0,0,1,0,0,1
170,954545.4545454546,510.97,3,2,1,1,0,1,0,0,0,0,1
171,954545.4545454546,954.02,3,1,1,1,0,0,0,0,1,1,1
172,954545.4545454546,780.39,3,1,2,1,1,1,0,1,2,1,0
173,954545.4545454546,492.39,4,2,1,1,0,0,0,1,0,1,0
174,954545.4545454546,353.03,3,1,2,1,1,1,0,0,1,1,0
175,954545.4545454546,910.45,4,2,2,1,1,0,0,0,2,0,1
176,954545.4545454546,791.53,3,1,1,1,0,0,0,1,2,0,2
177,953272.7272727273,562.06,3,1,1,1,0,1,0,0,0,1,1
178,950727.2727272727,658.22,3,1,1,1,1,1,0,0,2,1,1
179,948181.8181818182,295.43,3,2,2,1,0,0,0,0,2,0,1
180,948181.8181818182,418.06,4,2,1,0,0,1,0,1,2,0,1
181,948181.8181818182,668.9,3,1,2,1,1,1,0,0,1,1,2
182,935454.5454545454,316.8,3,1,2,0,0,0,0,1,0,0,1
183,935454.5454545454,741.37,3,1,1,1,0,0,0,0,1,1,1
184,929090.9090909091,278.71,3,2,2,1,1,1,0,0,0,0,2
185,929090.9090909091,278.71,3,1,2,1,0,1,0,0,0,0,0
186,929090.9090909091,1060.02,2,1,2,1,0,0,0,0,0,1,2
187,929090.9090909091,566.71,3,1,1,1,0,1,0,1,0,1,1
188,922727.2727272727,531.41,2,1,2,1,0,0,0,1,0,1,0
189,916363.6363636364,328.88,2,1,1,0,1,1,0,0,0,0,1
190,916363.6363636364,706.06,4,1,2,1,0,0,0,1,2,0,2
191,916363.6363636364,994.06,3,1,2,1,1,1,0,0,0,0,1
192,916363.6363636364,613.16,3,1,1,1,1,1,0,0,0,1,2
193,915090.9090909091,445.93,2,1,1,1,1,1,0,0,0,0,1
194,910000.0,757.16,3,2,1,1,1,1,0,0,0,0,1
195,903636.3636363636,409.7,4,3,2,1,0,1,0,0,2,0,1
196,903636.3636363636,714.05,3,1,1,1,1,1,1,0,0,0,1
197,901090.9090909091,260.13,3,2,2,0,0,1,0,1,1,0,1
198,897272.7272727273,552.59,3,1,2,1,0,0,0,1,0,0,1
199,892181.8181818182,390.19,3,1,2,1,0,0,0,0,1,0,2
200,890909.0909090909,419.92,3,1,2,1,0,1,0,1,0,0,1
201,890909.0909090909,380.44,3,1,2,0,1,1,0,1,0,0,1
202,890909.0909090909,382.76,2,1,1,1,0,1,0,0,1,0,1
203,890909.0909090909,501.68,4,1,2,1,0,0,0,0,0,0,1
204,890909.0909090909,443.15,3,1,1,1,1,1,0,0,0,0,1
205,890909.0909090909,585.29,3,1,1,1,0,0,0,1,2,0,1
206,890909.0909090909,538.84,2,1,1,1,1,1,0,1,0,0,1
207,890909.0909090909,278.71,3,1,2,1,0,1,0,1,0,0,1
208,890909.0909090909,275.92,3,1,3,1,0,0,0,0,0,0,1
209,890909.0909090909,624.31,3,1,1,1,0,0,0,0,0,0,0
210,890909.0909090909,431.63,3,1,2,1,1,1,0,0,2,0,1
211,890909.0909090909,1198.45,3,1,1,1,0,0,0,0,2,0,2
212,889636.3636363636,317.73,4,2,2,1,0,1,0,1,2,0,1
213,889636.3636363636,464.05,4,2,1,1,0,1,0,0,0,0,1
214,884545.4545454546,404.13,2,1,1,1,0,1,0,0,0,0,0
215,878181.8181818182,386.48,3,1,3,1,0,0,0,0,0,0,0
216,878181.8181818182,561.13,3,1,1,1,0,0,0,0,2,1,1
217,878181.8181818182,637.5,3,1,2,1,0,0,0,1,2,1,2
218,878181.8181818182,447.33,2,1,1,1,0,0,0,1,0,1,1
219,871818.1818181818,650.32,3,1,2,1,0,1,0,0,0,0,0
220,871818.1818181818,752.51,4,1,4,1,0,1,0,1,2,0,1
221,866727.2727272727,317.73,4,2,2,1,0,0,0,0,0,0,1
222,865454.5454545454,851.55,2,1,1,1,0,1,0,1,2,0,1
223,865454.5454545454,587.24,3,1,2,1,0,1,0,1,1,0,2
224,865454.5454545454,951.33,2,1,1,1,0,0,0,1,2,1,0
225,864181.8181818182,598.3,2,1,1,1,0,0,0,1,3,0,1
226,852727.2727272727,480.31,3,1,4,1,0,0,0,1,0,0,1
227,852727.2727272727,557.42,2,1,1,1,0,1,0,1,1,0,2
228,852727.2727272727,337.24,3,1,2,1,0,0,0,0,2,0,1
229,852727.2727272727,898.09,4,2,2,1,1,1,0,0,1,0,1
230,852727.2727272727,501.68,2,1,2,1,0,0,0,0,0,1,1
231,852727.2727272727,401.34,3,1,1,1,0,0,0,0,0,1,1
232,846363.6363636364,347.92,3,1,2,1,0,1,0,0,0,0,2
233,840000.0,386.48,3,1,1,1,1,1,0,1,0,0,0
234,840000.0,360.46,3,2,2,1,0,1,0,0,2,0,1
235,840000.0,527.69,3,1,2,1,1,0,0,1,1,0,1
236,840000.0,266.63,2,1,2,1,1,1,0,0,0,1,1
237,840000.0,465.44,3,1,2,1,0,1,0,0,0,0,1
238,838727.2727272727,418.99,4,2,2,1,0,1,0,0,0,0,1
239,833636.3636363636,371.61,3,1,2,1,0,0,0,0,1,0,2
240,833636.3636363636,356.75,3,1,2,1,0,0,0,0,1,1,1
241,827272.7272727273,349.32,3,1,1,1,0,0,0,0,2,0,1
242,827272.7272727273,338.17,3,1,2,1,0,0,0,1,0,0,2
243,827272.7272727273,236.9,3,1,2,1,0,1,0,0,0,0,2
244,827272.7272727273,494.24,3,1,2,1,1,1,0,0,0,1,1
245,827272.7272727273,497.96,3,1,2,1,0,0,0,0,2,1,0
246,827272.7272727273,327.02,3,1,1,1,0,0,0,0,0,1,1
247,827272.7272727273,780.39,4,1,4,1,0,0,0,0,3,0,0
248,826000.0,380.9,2,2,1,1,1,1,0,0,0,0,1
249,826000.0,463.59,4,2,2,1,1,1,0,0,0,1,2
250,820909.0909090909,326.09,3,1,3,1,0,0,0,0,0,0,1
251,820909.0909090909,320.52,3,1,2,1,0,1,0,0,1,0,1
252,820909.0909090909,916.02,3,1,1,1,0,0,0,0,0,0,1
253,820909.0909090909,327.02,2,1,2,1,0,0,0,0,0,1,2
254,814545.4545454546,418.99,4,1,2,1,0,0,0,1,2,0,1
255,814545.4545454546,546.73,2,1,1,1,0,0,0,1,1,0,0
256,814545.4545454546,371.61,3,1,2,1,0,0,0,0,2,0,2
257,814545.4545454546,766.45,3,1,1,1,0,0,0,0,0,0,2
258,814545.4545454546,375.33,3,1,2,1,0,0,0,0,1,0,1
259,813272.7272727273,590.86,2,1,1,1,0,1,0,1,1,0,2
260,813272.7272727273,293.76,3,1,2,1,0,0,0,1,1,0,2
261,813272.7272727273,326.09,3,1,2,1,0,0,0,0,0,0,1
262,808181.8181818182,348.39,2,1,1,1,1,1,0,0,0,0,1
263,801818.1818181818,368.64,3,1,2,0,0,0,0,0,0,0,1
264,801818.1818181818,455.22,2,1,2,1,0,1,0,0,0,0,1
265,800545.4545454546,267.56,3,1,2,1,0,0,0,0,0,1,1
266,800545.4545454546,453.37,3,1,1,1,0,0,0,0,2,1,0
267,800545.4545454546,457.08,3,1,2,1,0,0,0,0,1,0,1
268,796727.2727272727,459.87,4,1,2,1,0,0,0,1,0,0,1
269,795454.5454545454,362.32,3,1,2,1,0,0,0,0,0,0,0
